nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,vl_latitude,vl_longitude,pk_localizacao
RUA EMIRENE M DE AVILA,15,38180232,SANTA MONICA,ARAXA,MG,"-19,5906483","-46,9442412",18705
AVENIDA MANOEL RIBAS,1455,80810000,MERCES,CURITIBA,PR,"-25,4212554","-49,2924236",18707
RUA JOAQUIM COSTA,768,76630000,VILA PROGRESSO,ITABERAI,GO,"-16,0264754","-49,8028498",18708
RUA PARA DE MINAS,110,35690000,CENTRO,FLORESTAL,MG,"-19,8890283","-44,4301557",18709
AVENIDA CAPITAO ARTHUR DOS SANTOS,546,13600569,VILA BRESSAN,ARARAS,SP,"-22,3563423","-47,3778288",18710
RUA FLORIANO PEIXOTO,27,57600005,CENTRO,PALMEIRA DOS INDIOS,AL,"-9,4060856","-36,6301198",18711
RUA JOAQUIM NABUCO,1771,69010000,CENTRO,MANAUS,AM,"-3,1259864","-60,019479",18712
RUA SALVADOR,,75400000,VALE DAS GOAIBEIRAS,INHUMAS,GO,"-16,369774","-49,4985158",18713
AVENIDA OTACILIO TOMANIK,125,05363000,VILA POLOPOLI,SAO PAULO,SP,"-23,5766483","-46,7435542",18715
AVENIDA CLETO NUNES,197,29018250,PARQUE MOSCOSO,VITORIA,ES,"-20,3204827","-40,3415047",18716
AVENIDA SANTOS DUMONT,2572,60150161,ALDEOTA,FORTALEZA,CE,"-3,735124","-38,5018593",18718
RUA XV DE NOVEMBRO,566,18840000,CENTRO,SARUTAIA,SP,"-23,2726257","-49,4834165",18720
AVENIDA AUTOMOVEL CLUBE,2487,25561170,VILAR DOS TELES,SAO JOAO DE MERITI,RJ,"-22,7707808","-43,3609917",18722
AVENIDA MINAS GERAIS,106,35010150,CENTRO,GOVERNADOR VALADARES,MG,"-18,8577651","-41,9431565",18723
AVENIDA ITAPARK,792,09310370,VILA BOCAINA,MAUA,SP,"-23,6734275","-46,4513291",18724
RUA SENADOR MAURO BORGES TEIXEIRA,SN,77350000,CENTRO,COMBINADO,TO,"-12,7921526","-46,5391943",18725
RUA VINTE OITO DE SETEMBRO,704,66053000,REDUTO,BELEM,PA,"-1,447159","-48,4939655",18726
RUA BARAO DO RIO BRANCO,1460,75020020,SETOR CENTRAL,ANAPOLIS,GO,"-16,3270231","-48,959916",18728
RUA ALVARES CABRAL,430,20780320,CACHAMBI,RIO DE JANEIRO,RJ,"-22,8927311","-43,2701559",18730
RUA DOMITILA CABRAL DE CASTRO,225,58429570,UNIVERSITARIO,CAMPINA GRANDE,PB,"-7,2079891","-35,9180866",18731
FAZENDA ANGILCAL,SN,46425000,ZONA RURAL,LAGOA REAL,BA,"-14,0349869","-42,1426758",18732
AVENIDA ARCEBISPO DOM GERALDO FERNANDES,904,86026720,CENTRO,LONDRINA,PR,"-23,3076465","-51,1567861",18733
RUA MIGUEL PALMEIRA,1126,57000000,PINHEIRO,MACEIO,AL,"-9,6402046","-35,7429142",18734
AVENIDA FRANCISCO QUEIROZ,714,69093000,COLONIA SANTO ANTONIO,MANAUS,AM,"-3,0296004","-60,0010955",18736
AVENIDA CORONEL ANTONINO,218,79022000,CORONEL ANTONINO,CAMPO GRANDE,MS,"-20,4443856","-54,6036292",18738
AVENIDA ALVARENGA PEIXOTO,470,37484970,CENTRO,HELIODORA,MG,"-22,0665769","-45,5421703",18740
PRACA DOUTOR JOSE PINTO VIEIRA,SN,35382971,CENTRO,PIEDADE DE PONTE NOVA,MG,"-20,2465123","-42,7376007",18741
AVENIDA GARIBALDI,370,40301155,ONDINA,SALVADOR,BA,"-12,9930453","-38,5071036",18742
