nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,vl_latitude,vl_longitude,pk_localizacao
RUA DOUTOR AUGUSTO LEMGRUBER,SN,28750000,CENTRO,TRAJANO DE MORAIS,RJ,"-22,0640027","-42,0601711",10284
RUA CACHOEIRA DA PRATA,656,69087689,GILBERTO MESTRINHO,MANAUS,AM,"-3,1251677","-60,0380894",10286
RUA SIMAO DIAS,1,49517000,CENTRO,PINHAO,SE,"-10,5680862","-37,7228448",10287
PRACA DA MATRIZ POV DE ESPRAIADO,SN,46460000,CENTRO,PALMAS DE MONTE ALTO,BA,"-14,2666907","-43,1666908",10288
AVENIDA ALMIRANTE BARROSO,668,75455000,VILA ALVORADA,SANTA ROSA DE GOIAS,GO,"-16,0827813","-49,4937137",10290
AVENIDA OTAVIO MANGABEIRA,961,41830050,PITUBA,SALVADOR,BA,"-13,0079366","-38,4607564",10291
RUA JOSE DE PINHO,312,11535070,VILA CARAGUATA,CUBATAO,SP,"-23,9352523","-46,4284806",10293
RUA SAO JOSE,269,96412680,GETULIO VARGAS,BAGE,RS,"-31,322378","-54,0963344",10294
RUA MARTIN LUTERO,587,93819040,SETE DE SETEMBRO,SAPIRANGA,RS,"-29,6396007","-50,9937565",10295
RUA CORONEL JOAO DAMASCENO,50,62320000,ESTADIO,TIANGUA,CE,"-3,7300232","-40,9926511",10297
RUA ATALIBA CARRION,252,96900000,RIO BRANCO,SOBRADINHO,RS,"-29,4091457","-53,0203492",10298
AVENIDA DOS TRABALHADORES VILA DA JUSTICA,8,06145120,CONCEICAO,OSASCO,SP,"-23,5328814","-46,7920029",10299
SITIO BOA FE,,15630000,CORREGO FORTE,PEDRANOPOLIS,SP,"-20,2477513","-50,1098891",10301
RUA ITAQUAQUECETUBA,30,08737300,VILA CLEO,MOGI DAS CRUZES,SP,"-23,5448929","-46,203252",10302
RUA PADRE ANTONIO LOCK,500,86975000,CENTRO,MANDAGUARI,PR,"-23,528011","-51,670963",10304
AVENIDA OLINTO MEIRELES,1596,30620330,MILIONARIO,BELO HORIZONTE,MG,"-19,9853551","-44,0093197",10306
RODOVIA TO 70,,77478000,ZONA RURAL,SANDOLANDIA,TO,"-12,5384116","-49,9246609",10308
RUA LUDGERO CAETANO VIEIRA,1177,88385000,NOSSA SENHORA DA PAZ,PENHA,SC,"-26,7716153","-48,6496656",10309
TRAVESSA CARLOS XAVIER,312,21310010,MADUREIRA,RIO DE JANEIRO,RJ,"-22,875835","-43,3463129",10311
RUA CARACOL,245,06696020,ITAQUI,ITAPEVI,SP,"-23,5166061","-46,9414766",10312
AVENIDA ANANIN,SN,67030002,CENTRO,ANANINDEUA,PA,"-1,3652234","-48,3884135",10314
RUA ALIPIO DE GOES,196,11630000,COCAIA,ILHABELA,SP,"-23,8151875","-45,3571702",10315
RUA TREZE DE MAIO,162,55515000,CENTRO,AMARAJI,PE,"-8,3745902","-35,4508339",10316
SITIO NOSSA SENHORA APARECIDA,SN,19260000,ENGENHEIRO VERAS,MIRANTE DO PARANAPANEMA,SP,"-22,294824","-51,9078245",10317
RUA CONEGO OLIMPIO TORRES,46,52121050,CAMPINA DO BARRETO,RECIFE,PE,"-8,0174819","-34,8832555",10319
RUA HENRIQUE BUTZKE,SN,89251970,JARAGUA 99,JARAGUA DO SUL,SC,"-26,5004707","-49,1440884",10320
RUA GATURAMO,1521,86702001,JARDIM PRIMAVERA,ARAPONGAS,PR,"-23,393191","-51,4079451",10321
RUA PREFEITO JOSE CARLOS LACERDA,1256,25071120,JARDIM VINTE E CINCO DE AGOSTO,DUQUE DE CAXIAS,RJ,"-22,7908194","-43,3079355",10323
AVENIDA CASTELO BRANCO,6130,11708400,VILA NOEMIA,PRAIA GRANDE,SP,"-24,0240636","-46,4587536",10326
AVENIDA BRAZ OLAIA ACOSTA,727,14026040,JARDIM CALIFORNIA,RIBEIRAO PRETO,SP,"-21,2117148","-47,8179762",10328
RUA FRANCISCO DELLE,120,85170000,CENTRO,PINHAO,PR,"-25,7073473","-51,6334075",10330
AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE,1430,79750000,CENTRO,NOVA ANDRADINA,MS,"-22,2497298","-53,3498177",10331
AVENIDA NELSON LYRIO,1800,79180000,CENTRO,RIBAS DO RIO PARDO,MS,"-20,4449913","-53,759311",10333
AVENIDA SELMA PARADA,201,13091904,JARDIM MADALENA,CAMPINAS,SP,"-22,8654559","-47,0215867",10335
RUA TENENTE VASCONCELOS,381,37900074,CENTRO,PASSOS,MG,"-20,7149718","-46,6093548",10337
RUA VOLUNTARIOS DA PATRIA,97,48970000,SEDE,SENHOR DO BONFIM,BA,"-10,4576296","-40,1933582",10339
CORREGO TANCREDO,SN,29665000,ZONA RURAL,SAO ROQUE DO CANAA,ES,"-19,7386805","-40,6594438",10341
ESTRADA MUNPIEDADE AO BAIRRO DAS FURNAS,97,18170000,BAIRRO DAS FURNAS,PIEDADE,SP,"-23,7144314","-47,4260259",10342
RUA FREDERICO MUNDSTOCK,215,96900000,BAIXADA,SOBRADINHO,RS,"-29,4089778","-53,0341775",10344
RUA DOUTOR PETRONIO ROMERO DE SOUZA,479,82970020,CAJURU,CURITIBA,PR,"-25,4744924","-49,2083769",10346
PRACA CARLOS BOTELHO,189,11740000,CENTRO,ITANHAEM,SP,"-24,182915","-46,789025",10348
RUA ALFREDO JAEGER,323,95910210,OLARIAS,LAJEADO,RS,"-29,4360939","-51,9927881",10349
RUA SAO JOAO,126,42600000,CENTRO,MADRE DE DEUS,BA,"-12,7430631","-38,6174761",10350
RUA ILICINIA,186,35500186,BOM PASTOR,DIVINOPOLIS,MG,"-20,120527","-44,8838741",10351
RUA BENEDITO JENKINS,742,41310270,AGUAS CLARAS,SALVADOR,BA,"-12,8989213","-38,4342385",10352
RUA FREI ESTANISLAU SCHAETTE,956,89037002,AGUA VERDE,BLUMENAU,SC,"-26,9118291","-49,1018907",10354
RODOVIA LITORANEA CE,25,61700000,PORTO DAS DUNAS,AQUIRAZ,CE,"-3,9025356","-38,3885317",10356
RUA NORONHA TORREZAO,407,24240181,SANTA ROSA,NITEROI,RJ,"-22,8910999","-43,0984276",10357
RUA 112,51,88220000,CENTRO,ITAPEMA,SC,"-27,0910909","-48,6153566",10359
AVENIDA RODRIGUES ALVES,758,59020200,TIROL,NATAL,RN,"-5,7921809","-35,200394",10360
AVENIDA BEIRA MAR,SN,29345000,LAGOA DO SIRI,MARATAIZES,ES,"-21,0114151","-40,8088738",10362
RUA RUI BARBOSA,377,13465280,CENTRO,AMERICANA,SP,"-22,7408407","-47,3319742",10363
RUA ALEXANDRE DA MOTTA,1116,99500974,CENTRO,CARAZINHO,RS,"-28,2894517","-52,7875409",10364
AVENIDA CAMPOS SALES,762,59020300,TIROL,NATAL,RN,"-5,7905206","-35,2010537",10366
RUA LAUDELINA LOUREIRO DE MELO,708,18401000,VILA APARECIDA,ITAPEVA,SP,"-23,9735246","-48,8700348",10367
RUA HEITOR MACHADO DE CAMPOS,72,13485262,VILA ELIZA FUMAGALLI,LIMEIRA,SP,"-22,5433588","-47,3848229",10368
RUA BARAO DO RIO BRANCO,70,18870000,CENTRO,FARTURA,SP,"-23,387871","-49,5111652",10370
AVENIDA LUCIDIO FLORENCIO RIBEIRO,907,83480970,CENTRO,TUNAS DO PARANA,PR,"-24,9776936","-49,0836805",10371
AVENIDA JUSCELINO KUBITSCHEK DE OLIVEIRA,1631,87010440,ZONA 2,MARINGA,PR,"-23,4376469","-51,9386297",10373
LOCALIDADE ROMEOPOLIS CX POSTAL,8,86870000,ROMEOPOLIS,IVAIPORA,PR,"-24,2444396","-51,6741201",10375
RUA FRANCISCO GOBBI,576,98580000,CENTRO,CORONEL BICACO,RS,"-27,7163147","-53,7060219",10377
RUA BARAO DE LORETO,615,09131180,CONDOMINIO MARACANA,SANTO ANDRE,SP,"-23,6961465","-46,4943712",10379
RUA JOAO PAULO I,SN,99713156,PRESIDENTE VARGAS,ERECHIM,RS,"-27,6464759","-52,2973902",10381
RUA BENEDITO JOSE DOS REIS,34,13486065,VILA SANTA LUCIA,LIMEIRA,SP,"-22,5680643","-47,3923459",10383
ESTRADA DO CAMPO LIMPO,6477,05777000,J NADIR,SAO PAULO,SP,"-23,6124735","-46,7547825",10384
RUA EUCLIDES DA CUNHA,126,09400220,CENTRO,RIBEIRAO PIRES,SP,"-23,7123396","-46,4132472",10386
AVENIDA OCEANICA,649,45920970,CENTRO,NOVA VICOSA,BA,"-17,8995259","-39,3716146",10388
RUA 8,32,72834150,PARQUE SANTA FE,LUZIANIA,GO,"-16,2584923","-47,9224738",10390
RUA SERGIPE,427,86010360,CENTRO,LONDRINA,PR,"-23,3098342","-51,1570493",10391
AVENIDA DAS AMERICAS,500,22640100,BARRA DA TIJUCA,RIO DE JANEIRO,RJ,"-23,0035708","-43,3173069",10393
RUA JOSE JOAO SARTORIO,53,29295000,CENTRO,VARGEM ALTA,ES,"-20,674002","-41,0098203",10394
RUA DOUTOR FRANCISCO SALLES,289,37200973,CENTRO,LAVRAS,MG,"-21,2462951","-45,0006295",10396
AVENIDA ESTADOS UNIDOS,471,09210300,PARQUE DAS NACOES,SANTO ANDRE,SP,"-23,6359932","-46,5297442",10397
AVENIDA SAO PAULO,722,15650000,CENTRO,ESTRELA D OESTE,SP,"-20,2886493","-50,3961192",10399
RUA MADRE DE DEUS,646,03119000,MOOCA,SAO PAULO,SP,"-23,56235","-46,5966139",10401
RUA ALBERTO SANTOS,655,88960000,CENTRO,SOMBRIO,SC,"-29,1134163","-49,6308627",10403
RUA RIO GRANDE DO SUL,111,68523970,CENTRO,CURIONOPOLIS,PA,"-6,0661643","-49,5610581",10404
RUA JOAQUIM FLORIANO,466,04534002,ITAIM BIBI,SAO PAULO,SP,"-23,5843942","-46,6750807",10405
AVENIDA TANCREDO NEVES,707,87704310,JARDIM PAULISTA,PARANAVAI,PR,"-23,0854539","-52,475942",10406
RUA PEDRO PETRICEVIC,308,04845170,JARDIM REIMBERG,SAO PAULO,SP,"-23,7495808","-46,6957057",10408
RUA VISCONDE DE CAIRU,276,88804320,OPERARIA VELHA,CRICIUMA,SC,"-28,6875257","-49,3787632",10409
AVENIDA MAE LUZIA,1185A,68908122,LAGUINHO,MACAPA,AP,"0,0457328","-51,0607538",10411
ESTRADA DE RIBAMAR,5,65130000,LOTEAMENTO AMARAL DE MATOS,PACO DO LUMIAR,MA,"-2,5533003","-44,2229914",10413
AVENIDA BRASIL,630,78870000,UNIAO,PARANATINGA,MT,"-14,4239132","-54,0549632",10415
FAZENDA ARAGUARI,SN,15980000,RURAL,DOBRADA,SP,"-21,5160108","-48,3939305",10417
RUA ALCEU AMOROSO LIMA,786,41820770,CAMINHO DAS ARVORES,SALVADOR,BA,"-12,981934","-38,4529426",10418
RUA JOAO MANOEL SILVANO,SN,88717000,MORRO GRANDE,SANGAO,SC,"-28,633142","-49,1326689",10419
AVENIDA HENRIQUE ZIBETTI,SN,85450000,CENTRO,CAMPO BONITO,PR,"-25,0266317","-52,9917086",10420
RUA SAO BENTO,365,01011100,CENTRO,SAO PAULO,SP,"-23,5460161","-46,6353461",10422
AVENIDA DESEMBARGADOR HAMILTON VELASCO,SN,76280000,CENTRO,BRITANIA,GO,"-15,2432008","-51,1606653",10424
RUA PADRE ALFREDO NESI,68,61650280,JUREMA,CAUCAIA,CE,"-3,7281443","-38,6619214",10425
AVENIDA VINTE DE SETEMBRO,262,93890000,CAMPO VICENTE,NOVA HARTZ,RS,"-29,5838194","-50,9022491",10427
RUA DAS ORQUIDEAS,403,37640000,CENTRO,EXTREMA,MG,"-22,8571598","-46,3223977",10429
RUA VIDAL RAMOS,140,88010320,CENTRO,FLORIANOPOLIS,SC,"-27,595433","-48,5506085",10431
RUA ZACARIAS DE PAULA XAVIER,408,83414160,CENTRO,COLOMBO,PR,"-25,292941","-49,227071",10432
AVENIDA ENGENHEIRO JOSE NELSON MACHADO,799,15809000,PARQUE IRACEMA,CATANDUVA,SP,"-21,1440305","-48,9719507",10434
RUA JERONIMO MARTINS DO NASCIMENTO,756,38400630,BOM JESUS,UBERLANDIA,MG,"-18,9042944","-48,2699802",10435
RUA MARECHAL FLORIANO,1204,35010141,CENTRO,GOVERNADOR VALADARES,MG,"-18,8594705","-41,9475674",10436
RUA SANTA CRUZ,415,13419020,ALEMAES,PIRACICABA,SP,"-22,7230326","-47,6421145",10438
RUA AMANDO SIMOES,573A,17350000,CENTRO,IGARACU DO TIETE,SP,"-22,5107752","-48,5568111",10440
ESTRADA LINHA TRINTA E UM DE OUTUBRO,SN,95895000,INTERIOR,COLINAS,RS,"-29,3829601","-51,8576227",10442
RUA GUILHERME DANCKER,138,89251460,CENTRO,JARAGUA DO SUL,SC,"-26,4928893","-49,07749",10444
VIA AC PROJETO VIDA NOVA,6,42700000,VIDA NOVA,LAURO DE FREITAS,BA,"-12,8820575","-38,3148204",10446
RUA CARLOS MOLL,148,96214180,CASTELO BRANCO,RIO GRANDE,RS,"-32,0353776","-52,1075802",10447
RUA JOSE MADRID DE MARTINS,542,16058187,SAO RAFAEL,ARACATUBA,SP,"-21,1665301","-50,4576937",10448
RUA ALAGOAS,1314,30130913,SAVASSI,BELO HORIZONTE,MG,"-19,9383721","-43,937387",10449
TRECHO PROFESSOR ANISIO TEIXEIRA,52,46400000,CENTRO,CAETITE,BA,"-14,0687962","-42,4876084",10450
RUA GERALDO GRIMALDI,210,13830000,JARDIM MARIA HELENA,SANTO ANTONIO DE POSSE,SP,"-22,6085085","-46,9139137",10452
RUA JOAO BATISTA RODRIGUES,584,62700000,CAMPINAS,CANINDE,CE,"-4,3454935","-39,3057783",10454
AVENIDA QUARTA,15,75834970,CENTRO,MINEIROS,GO,"-17,5705962","-52,5527978",10456
RUA CAROLINA LEAL,57,29123220,JABURUNA,VILA VELHA,ES,"-20,3326824","-40,2980882",10457
AVENIDA MARECHAL FLORIANO,901,96400010,CENTRO,BAGE,RS,"-31,3316003","-54,1041519",10458
RUA DOUTOR BARROS CRUZ,33,04118130,VILA MARIANA,SAO PAULO,SP,"-23,5944458","-46,6291188",10460
RUA QUINTINO BOCAIUVA,110,93510270,CENTRO,NOVO HAMBURGO,RS,"-29,6812713","-51,1226154",10462
TRAVESSA TOMAZINA,27,86060650,JARDIM DO NORTE,LONDRINA,PR,"-23,3044847","-51,1762627",10464
AVENIDA JOEDIR ASSUNCAO COSTA,,73840000,SETOR INDUSTRIAL,CAMPOS BELOS,GO,"-13,0354207","-46,7685335",10465
RUA MARECHAL CANDIDO RONDON,952,85898000,CENTRO,SAO JOSE DAS PALMEIRAS,PR,"-24,8279639","-54,0836105",10467
AOS,,70660900,OCTOGONAL,BRASILIA,DF,"-15,7942287","-47,8821658",10469
RUA PURUS,643,09932240,JARDIM DAS PAINEIRAS,DIADEMA,SP,"-23,6650005","-46,6190213",10471
RUA JOSE LIBERO,110,04070040,PLANALTO PAULISTA,SAO PAULO,SP,"-23,6254944","-46,6420474",10472
RUA DOUTOR SALES DE OLIVEIRA,547,13035270,VILA INDUSTRIAL,CAMPINAS,SP,"-22,9115321","-47,0654198",10474
RUA MANOEL CAMPOS,39,08471230,SANTA ETELVINA,SAO PAULO,SP,"-23,6018932","-46,4007197",10475
RUA CARDOSO JUNIOR,22,22245000,LARANJEIRAS,RIO DE JANEIRO,RJ,"-22,9381422","-43,1899471",10477
RUA ENGENHEIRO DE CARVALHO,113A,58307150,CENTRO,BAYEUX,PB,"-7,1272784","-34,9295431",10478
RUA ALVES GUIMARAES,41,05410000,JARDIM AMERICA,SAO PAULO,SP,"-23,5615261","-46,6744102",10479
AVENIDA CDE FRANCISCO MATARAZZO,133,09520100,CENTRO,SAO CAETANO DO SUL,SP,"-23,6095154","-46,5706891",10481
RUA SANTO ANDRE,255,14887030,NOVA JABOTICABAL,JABOTICABAL,SP,"-21,2637465","-48,3130016",10483
AVENIDA MANOEL RIBAS,100,85200000,CENTRO,PITANGA,PR,"-24,7601048","-51,7619677",10485
RUA IRINEU VILELA VEIGA,128,89270000,CENTRO,GUARAMIRIM,SC,"-26,474023","-48,9953222",10487
RUA OLAVO BILAC,88,57038179,CRUZ DAS ALMAS,MACEIO,AL,"-9,6264048","-35,7075097",10489
RUA PROFESSOR DARCY ARAUJO,299,64051040,SAO CRISTOVAO,TERESINA,PI,"-5,0784092","-42,7757618",10490
SHCS QUADRA 207 BLOCO C,,70253530,ASA SUL,BRASILIA,DF,"-15,8321684","-47,9140722",10492
RUA ANTONIO CONSELHEIRO,315,42805200,IMBASSAY,CAMACARI,BA,"-12,7021776","-38,3167511",10493
RUA PADRE JULIO MARIA,1515,66812470,PONTA GROSSA,BELEM,PA,"-1,3068954","-48,48503",10495
RUA DANTAS BARRETO,158,55295080,SAO JOSE,GARANHUNS,PE,"-8,8890828","-36,4953361",10497
AVENIDA CENTRAL,85,74565450,SETOR URIAS MAGALHAES,GOIANIA,GO,"-16,6499153","-49,3208358",10499
TRAVESSA INDEPENDENCIA,10,65275000,CENTRO,APICUM ACU,MA,"-1,5319911","-45,0810881",10500
RUA PEDRO CICILIO OCCIUZZI,37,02992200,PARQUE PANAMERICANO,SAO PAULO,SP,"-23,4488157","-46,7277046",10501
RUA B,1,23026060,GUARATIBA,RIO DE JANEIRO,RJ,"-22,9861199","-43,6237358",10502
CONDOMINIO JARDIM EUROPA II AREA ESPECIAL,2,73100000,SOBRADINHO,BRASILIA,DF,"-15,7942287","-47,8821658",10504
AVENIDA PARANA,5463,87502000,ZONA III,UMUARAMA,PR,"-23,7584722","-53,2978031",10506
RUA ASSEMBLEIA DE DEUS,39,11500040,JARDIM SAO FRANCISCO,CUBATAO,SP,"-23,8825678","-46,4191121",10507
RUA JOSE AUGUSTO ROYER,133,89518000,CENTRO,MACIEIRA,SC,"-26,8564972","-51,3763427",10509
RUA FRANCISCO FURTADO,,68904275,NOVO BURITIZAL,MACAPA,AP,"0,0241899","-51,0894158",10511
AVENIDA DOUTOR CAMPOS SALES,251,13010080,CENTRO,CAMPINAS,SP,"-22,9068258","-47,0660953",10512
ALAMEDA POLIVALENTE,2635,68372090,JARDIM UIRAPURU,ALTAMIRA,PA,"-3,2109405","-52,2176525",10514
AVENIDA AVELINO PARANHO,52,03533010,VILA TALARICO,SAO PAULO,SP,"-23,5492148","-46,5082623",10515
AVENIDA BERNARDO VIEIRA DE MELO,3448,54400000,PIEDADE,JABOATAO DOS GUARARAPES,PE,"-8,1829877","-34,9186822",10516
RUA IMPERIAL SERRANO,4,53900000,PILAR,ILHA DE ITAMARACA,PE,"-7,7480776","-34,8306327",10517
RUA DOS TAMARINEIROS,614,65608230,TRIZIDELA,CAXIAS,MA,"-4,863594","-43,3732474",10518
PRACA ANTONIO CARLOS,100,37750000,CENTRO,MACHADO,MG,"-21,67622","-45,9223593",10519
RUA VENEZUELA,2295,76913424,JARDIM DAS SERINGUEIRAS,JI PARANA,RO,"-10,9100505","-61,9169293",10521
RUA GONCALO IBANHEZ,835,16200285,VILA STAFF,BIRIGUI,SP,"-21,2915055","-50,3436312",10523
RUA BABACU,310,08760020,JARDIM PLANALTO,MOGI DAS CRUZES,SP,"-23,5579435","-46,2192041",10525
RUA JOSE CAVALLI,39,13290000,SANTO ANTONIO,LOUVEIRA,SP,"-23,0882378","-46,9781374",10527
RUA AIDA,80,04224000,VILA INDEPENDENCIA,SAO PAULO,SP,"-23,5985193","-46,5956337",10528
RUA GUAPORE,270,01109030,LUZ,SAO PAULO,SP,"-23,5233737","-46,6276593",10529
RUA SETE DE SETEMBRO,1036,84010350,CENTRO,PONTA GROSSA,PR,"-25,0930111","-50,1585335",10530
AVENIDA JOSE BARCELOS,745,35164069,BETHANIA,IPATINGA,MG,"-19,4438104","-42,5471458",10532
RODOVIA BR 116,240,92990970,PICADA,ELDORADO DO SUL,RS,"-30,0882647","-51,6245426",10533
RUA MAXIMILIANO BARCELINO,100,12460000,VILA INGLESA,CAMPOS DO JORDAO,SP,"-22,7428673","-45,5963557",10534
RUA MANOEL JOAQUIM PINTO,SN,88600000,CENTRO,SAO JOAQUIM,SC,"-28,292455","-49,9375873",10535
FAZENDA VELHA,SN,19960000,FAZENDA VELHA,CAMPOS NOVOS PAULISTA,SP,"-22,6122703","-49,9976442",10536
SITIO RECANTO COLORADO,SN,17380000,GRAMADO,BROTAS,SP,"-22,279958","-48,1255698",10537
RUA EDSON FRANCISCO,90,45300000,SAO ROQUE,AMARGOSA,BA,"-13,0297318","-39,60207",10539
RUA SILVESTRE CALEGIONI,82,14140000,FRANCISCO CASTILHO,CRAVINHOS,SP,"-21,3319036","-47,7545813",10540
DISTRITO RINCAO DOS MENEZES,SN,97590000,PRIMEIRO DISTRITO,ROSARIO DO SUL,RS,"-30,2589889","-54,9153352",10542
RODOVIA BR 364,,76861000,ZONA RUAL,ITAPUA DO OESTE,RO,"-9,1974737","-63,1655015",10543
RUA JIPARANA,168,08246050,PARADA QUINZE,SAO PAULO,SP,"-23,5341128","-46,4377841",10544
RUA CORONEL JOAQUIM FERREIRA LOBO,203,04544150,VILA NOVA CONCEICAO,SAO PAULO,SP,"-23,5932508","-46,6817036",10546
RUA FELICIO FERNANDES NOGUEIRA,35A,12980000,CENTRO,JOANOPOLIS,SP,"-22,9307368","-46,2793447",10548
AVENIDA PADRE ANTONIO OTERO SOARES,195,84970000,CENTRO,SANTANA DO ITARARE,PR,"-23,7599998","-49,6302906",10549
RUA GASPAR CONQUEIRO,836,08730480,VILA VITORIA,MOGI DAS CRUZES,SP,"-23,532096","-46,2053832",10551
RUA MADRE SOFIA MARCHETTI,207,08270020,VILA CARMOSINA,SAO PAULO,SP,"-23,5527369","-46,4616718",10553
RUA B LOTEAMENTO SAO SANTIAGO,188,44570000,MARIA PRETA,SANTO ANTONIO DE JESUS,BA,"-12,9713207","-39,2596724",10555
RUA TAIACUPEBA,37,03150030,QUINTA DA PAINEIRA,SAO PAULO,SP,"-23,5820072","-46,5870457",10556
RUA ARDUINO EUGENIO DONIN,442,85906508,JARDIM CONCORDIA,TOLEDO,PR,"-24,7251154","-53,7416844",10558
RUA ALTO DO FRADE,313,55630000,ALTO DO FRADE,POMBOS,PE,"-8,1416136","-35,3963033",10559
RUA ANDRADAS,406,97573000,CENTRO,SANTANA DO LIVRAMENTO,RS,"-30,8921306","-55,5334668",10561
RUA ALEXANDRE DE GUSMAO,1630,92030340,ESTANCIA VELHA,CANOAS,RS,"-29,9102145","-51,1419228",10563
RUA JOHANES KARL KLEMM,143,96835250,SANTO ANTONIO,SANTA CRUZ DO SUL,RS,"-29,74664","-52,4196703",10564
RUA PRINCIPAL,SN,85710000,MARCIANOPOLIS,SANTO ANTONIO DO SUDOESTE,PR,"-26,074187","-53,7256129",10565
RUA ANTONIO ARRUDA,1060A,60347255,JARDIM GUANABARA,FORTALEZA,CE,"-3,7166526","-38,5930957",10567
RUA JUNDIAPEBA,36,03143050,VILA ZELINA,SAO PAULO,SP,"-23,5892045","-46,5823441",10569
AVENIDA T 002,2091,74215010,SETOR BUENO,GOIANIA,GO,"-16,708798","-49,2727589",10570
RUA RAIMUNDO ALVES CAVALCANTE,608,61880000,P SANTO ANTONIO,ITAITINGA,CE,"-3,9663604","-38,5254549",10572
QNN 38 CONJUNTO B,,72220382,CEILANDIA SUL CEILANDIA,BRASILIA,DF,"-15,801519","-47,860297",10574
AVENIDA DANIEL MALETTINI,516,02411000,VILA AURORA,SAO PAULO,SP,"-23,4752434","-46,6238808",10575
RUA 5 DE MAIO,123,95270000,SAO GOTARDO,FLORES DA CUNHA,RS,"-29,030486","-51,1918904",10577
RUA BARAO DO COTEGIPE,267,48970000,CENTRO,SENHOR DO BONFIM,BA,"-10,4655765","-40,1869864",10578
RUA ACADEMICO NILO FIGUEIREDO,3180,33400970,DOUTOR LUND,LAGOA SANTA,MG,"-19,650039","-43,9069366",10579
AVENIDA JOAO PAULINELLI DE CARVALHO,432,38900000,CENTRO,BAMBUI,MG,"-20,0166504","-45,9737724",10581
AVENIDA CORONEL FREDERICO LINCK,1265,93336001,RIO BRANCO,NOVO HAMBURGO,RS,"-29,690653","-51,1300264",10582
RUA AIURUOCA,263,31910130,SAO PAULO,BELO HORIZONTE,MG,"-19,8680656","-43,9238483",10583
RUA VARZEA PAULISTA,210,13202700,VILA PROGRESSO,JUNDIAI,SP,"-23,2041723","-46,8673262",10585
RUA MISTER MOORE,39,36013180,CENTRO,JUIZ DE FORA,MG,"-21,7594037","-43,3481496",10587
RUA LOBELIA,33,07600000,JARDIM MARIA ANTONINA,MAIRIPORA,SP,"-23,3179561","-46,5885175",10589
AVENIDA 1 DE MAIO,SN,76980000,SETOR PIONEIRO,VILHENA,RO,"-12,7466363","-60,144798",10590
RUA BENEDITO PALMIRO RODRIGUES,157,07417285,PARQUE RODRIGO BARRETO,ARUJA,SP,"-23,3969682","-46,3204265",10592
AVENIDA DOM JOSE GASPAR,701,30535610,CORACAO EUCARISTICO,BELO HORIZONTE,MG,"-19,9250684","-43,9914709",10593
RUA ALMIRANTE ALEXANDRINO,1566,20241263,SANTA TERESA,RIO DE JANEIRO,RJ,"-22,9255576","-43,1907559",10595
LOTEAMENTO JARDIM METROPOLES,23,42700000,ITINGA,LAURO DE FREITAS,BA,"-12,9101334","-38,3525477",10597
AVENIDA EDGARD SANTOS,113,41192005,NARANDIBA,SALVADOR,BA,"-12,9574824","-38,4418316",10598
AVENIDA ALENCASTRO GUIMARAES,237,39445970,CENTRO,CAPITAO ENEAS,MG,"-16,3233487","-43,7085926",10600
RUA FERNANDO BARRETO,2465,59075720,LAGOA NOVA,NATAL,RN,"-5,822858","-35,2139833",10601
RODOVIA RAPOSO TAVARES,SN,05576000,BUTANTA,SAO PAULO,SP,"-23,5859609","-46,7601258",10603
RUA FRANCISCO ANTUNES,969,07040010,VILA AUGUSTA,GUARULHOS,SP,"-23,4783132","-46,5460705",10604
RODOVIA 422,,68470000,ESTRADA,OEIRAS DO PARA,PA,"-2,0023944","-49,8456277",10605
RUA PAPOULA AZUL,80,30555185,HAVAI,BELO HORIZONTE,MG,"-19,9514485","-43,9788158",10606
SITIO SANTO ANTONIO,SN,17830000,CAPIM FINO,FLORIDA PAULISTA,SP,"-21,6131815","-51,1729216",10607
RUA ARAUJO PINHO,197,48700000,CENTRO,SERRINHA,BA,"-11,6591602","-39,0073193",10609
RUA PEDRO GRASSI,723,16075115,TV,ARACATUBA,SP,"-21,1827301","-50,4580254",10611
AVENIDA COMENDADOR RAFAEL,1452,29900052,CENTRO,LINHARES,ES,"-19,3989124","-40,0661645",10612
RUA I,SN,77413520,VILA IRIS,GURUPI,TO,"-11,7423435","-49,0917532",10613
RUA CORONEL SOARES DE CARVALHO,558,96700000,CENTRO,SAO JERONIMO,RS,"-29,959141","-51,723354",10614
RUA TRIUNFO,1159,14020670,JARDIM BOTANICO,RIBEIRAO PRETO,SP,"-21,2069555","-47,7947417",10616
AVENIDA CONSELHEIRO RODRIGUES ALVES,147,12490000,CENTRO,SAO BENTO DO SAPUCAI,SP,"-22,6864711","-45,7318714",10618
RUA SETE DE SETEMBRO,1380,97900000,CENTRO,CERRO LARGO,RS,"-28,1484008","-54,7372952",10619
RUA NILO,239,30881480,SAO SALVADOR,BELO HORIZONTE,MG,"-19,8925419","-44,0121533",10620
RUA 13 DE MAIO,511,16400045,CENTRO,LINS,SP,"-21,6766569","-49,7523579",10622
AVENIDA COUTO MAGALHAES,SN,78615000,CENTRO,ARAGUAINHA,MT,"-16,8564766","-53,0297285",10624
AVENIDA DOS PIONEIROS,1137,45880970,CENTRO,CAMACAN,BA,"-15,4180213","-39,487153",10625
RODOVIA AUGUSTO MONTENEGRO,SN,66820000,NOVA MARAMBAIA,BELEM,PA,"-1,3963121","-48,4347849",10627
